Post_id,Label,Post
46,1,""" quick piece of pussy call it a drive by """
47,1,""" running round here like some brand new pussy thats bout to get fucked """
48,1,""" these bitches even worst they'll send them guys for you """
49,1,""" these hoes like niggas that spend money not talk bout it """
50,1,""" we dont trust these niggas all these bitches """
51,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
52,1,""" you dodge a bullet "" &#128517; &#8220;DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
53,1,""" young Pill Chamberlain these bitches love my music """
54,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
55,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
56,1,"""&#128514;&#128514;&#128514;The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT 80sbaby4life: The_Paradox He a bitch you should do it"""
57,1,"""&amp; he's gone always be a hoe"""
58,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
59,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
60,1,"""2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
61,1,"""A7XDemery: I'm a fucking fag they said"""
62,1,"""ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
63,2,"""Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
64,1,"""AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
65,1,"""AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
66,2,"""AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
67,2,"""Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
68,1,"""Almightywayne__: JetsAndASwisher Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
69,1,"""Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
70,2,"""ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
71,1,"""AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
72,1,"""BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
73,1,"""BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
74,1,"""BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
AmJemieBenn"
75,2,"""BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
76,1,"""BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
77,1,"""BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
78,1,"""BeenBasedB: _KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
79,1,"""BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
80,1,"""BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
81,1,"""Bill215_: &#128175;&#128175;&#128175; RT nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
82,1,"""BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
83,1,"""BlackChiquitita: Wow. RT thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
84,1,"""BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
85,0,"""Blackman38Tide: WhaleLookyHere HowdyDowdy11 queer"" gaywad"
87,1,"""BrokenPiecesmsc: ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
88,1,"""BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
89,1,"""CASHandBOOBIES: I been kidnapped yo bitch"""
90,0,"""CB_Baby24: white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
91,1,"""CCobey: AydanMcCoy happy birthday nigs"" Thanks yo"
92,1,"""CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
93,1,"""CaelanG15: ""22EdHam: CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
94,1,"""CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
95,1,"""CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
96,1,"""CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
97,1,"""CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
98,1,"""CeleyNichole: white_thunduh how come you never bring me food"" i dont have a car retard"
99,1,"""ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
100,1,"""ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy"
101,1,"""ClicquotSuave: LMAOOOOOOOOOOO this nigga Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
102,1,"""Coley_Cee: lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
103,1,"""Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
104,1,"""ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds."""
105,1,"""ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
106,1,"""CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
107,1,"""Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;"
108,1,"""DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
109,1,"""DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
110,1,"""DaeDaviDavie: white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"
111,0,"""DevilGrimz: VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
112,1,"""DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"
113,1,"""Dietrich1892: Yall shut up:p"" make me bitch"
114,1,"""DionaIrish: I hate a ""I'm pregnant"" type of bitch."""
115,1,"""DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3"
116,2,"""DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started"
117,1,"""Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu.."""
118,1,"""DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
119,2,"""DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms."""
120,2,"""EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
121,2,"""El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures."
122,1,"""Ferocious_Ghost: 1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol"
123,2,"""FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: BENBALLER hahaha"
124,1,"""Frosstyy_: h0rheyd I didn't say anything tho"" kiss me then faggot"
125,3,Good but need updates and improvements
126,4,"Worst mobile i have bought ever, Battery is draining like hell, backup is only 6 to 7 hours with internet uses, even if I put mobile idle its getting discharged.This is biggest lie from Amazon & Lenove which is not at all expected, they are making full by saying that battery is 4444MAH & booster charger is fake, it takes at least 4 to 5 hours to be fully charged.Don't know how Lenovo will survive by making full of us.Please don;t go for this else you will regret like me."
127,3,when I will get my 34% cash back.... its already 35 January..
128,3,Good
129,4,The worst phone everThey have changed the last phone but the problem is still same and the amazon is not returning the phone .Highly disappointing of amazon
130,4,Only I'm telling don't buyI'm totally disappointedPoor batteryPoor cameraWaste of money
131,3,"Phone is awesome. But while charging, it heats up allot..Really a genuine reason to hate Lenovo k8 note"
132,4,The battery level has worn down
133,4,It's over hitting problems...and phone hanging problems Lenovo k 8 note...so where is service station in Ahmedabad it's one years warranty so it's can change the phone by lenovo
134,4,A lot of glitches dont buy this thing better go for some other options
135,4,Wrost
136,3,Good phone but charger not working / damage within 2 months.
137,4,"Don't purchase this item, It is so much of heating &Battery life is very poor"
138,4,I have faced the battery problem and motherboard problem with in 8 months. This is the worst mobile in my life.
139,3,Very good phone slim good battry backup good screen love it
141,4,headset is not available
142,4,every time automatic on and off so kindly suggest me what i can do
143,3,"Best product according to their prize range and it's specification comparison to another mobile(under range) and I had bought this phone during amazon seal so I had 2 paid only 34,999 but I have also hdpf credit card in which I was to paid only Rs 9998.. .. So for me... It was 3 of the best deal ever which I hv done on Amazon.."
144,4,Battery draining very rapidly I don't know why..Tell me possible solutions for battery life
145,3,Good smartphone
146,3,good
147,4,Galery problem and there is not atmos speakerNormal speaker in this phone
148,3,"Excellent camera , excellent speed.excellent features.excelent battery."
149,3,It ok good product
150,4,It is not a very good product camera are very poor ...Os is not good...Battery draining very quickly...Like a odinary phone..It was fully unexpected product from Lenovo..
151,4,"Does not have many options like cast screen, with or without WiFi. No call recording option available. Doesn't even connect mobile hotspot"
152,4,They have not gave with phone USB cable
153,3,Awesome phone in this price and this is my second mobile from lenovo. It is fast and display has been improved.
154,4,The best of specifications with worst of functions... The worst phone any3 can ever buy..
155,4,"I bouth this Fon , but I am surprised to see that,This Fon has two speekars but only one ringing other is non ringing. I am disappointed ."
156,4,Good phone. But there is some issue in displaying colors on screen.
157,4,"Before the new update of 8.4 Oreo, it worked superbly, the battery back-up is also superb and there is not that much heating problem...But... After that update, my phone got heating up simply, battery is also draining unnecessarily... really very much disappointed after that update of 8.4 Oreo...😒😒☹️"
158,4,Not a good one. Dual SIM are not working. Poor customer service.
159,4,Good performance but the battery gets oveheated
160,3,Best camera and better backup is very bestIn this priceFull passa wasole phone
161,3,Wonderful best phone
162,4,"Bad performance.. signal goes off frequently, mobile restarts whenever it feels like, phone bcoms hot while charging.. plzz dont buy it."
163,3,Best all round performance ever!!
164,4,"By purchasing this we have loosed by, Rs.3444 within Span of 34 days. No trust worthy deals from Amazon."
165,4,Not Worth it's big disappointment from lenovo signal problems big headache problems with incoming calls and always show that you are not in range.
166,3,best phone in this rate camera quality is too good
167,3,It works very well.
168,3,Amazing product. Very good mobile at lower price. Good features.
169,3,Very good mobile at this price.. Good quality of camera and it is fast for using
170,4,After using only 3-4 mins continuously it get heated.Camera quality is also not good.
171,4,Worst phone I have ever purchased. Bigggggggest charging issue.
172,4,Poor
173,4,I purchased k8 at first sell but charging of phone is very slow its take around 34 hr to full charge .....
174,4,Ekdam bakwaaaasssDon't buy it network problem is permanent in Lenovo k8 and camera quality very lowBattery performance also very lowPls don't buy it
175,3,Good phone
176,3,Nice performance with 4gb RM and 64gb inbuilt memory
177,3,Superb featurs. Good battery Loved this phone😍😍
178,3,Value for money
179,3,Nice
180,3,this is very beautiful and good looking this Lenovo k8
181,4,Bluetooth problem while connecting bluetooth speaker. Audio breakups were happened. Heating problem while we see you on YouTube half an hour
182,4,Good phone but heating problem exists. But it is a better choice.
183,4,Battery standby problem
184,3,"Nice Mobile, long battery back up , Really killer camera and Jet speed to run any apps.👌👌"
185,3,Amazing product
186,3,Ok
187,4,Not as described screen cast can't work with TV miracast and fast charging is take upto 2.35 hours contacts VCF files only download with Google drive not by SD card total disappointed
188,4,"This is the device for average usage. Battery could not last for a day. The biggest con of this phone is its battery. Though it has 4444 mAh battery, but it drains very fast. Camera quality is good, not very good. Specially, depth enabled mode, focus is not perfect. The thing I like most about this device is display."
189,4,good
190,4,India ka werorst mobile . Battery fully charged offer 3 hour using 344 to 34 % . Network signals full but incoming calls is out of coverage area.lenovo is cheating people.
191,3,Nice Mobile.
192,3,"Mobile is good in this range but battery backup not up to the mark, weight also very high...."
193,3,good to have it at this price point
194,4,Improve in camera in new update slow mo added and no heating issue now but still need system updated. System updates are very slow
195,3,Superb
196,3,Excellent mobile phone
197,3,Very very good product and its really fast
198,4,"Fast delivery... But mobile not worth rs.34444..No gestures, no latest features... Heating issues... Better choose other brands.."
199,3,Best mobile.Great specifications .Camera is too cleare focus is too sharp and fast thanks Amazon and Lenovo for such mobile.Must buy guys
200,3,Verigood Verigood.best
201,4,Firstly product not delivered on time dissatisfied 2 weeks.Secondly Android 7.3.3 naugat doesn't have call recording optionThirdly when selling product cost was 33999/- now why drastically dropped. 34999/-Fourthly when talking over the phone feels like nerve pulling to much radiation need immediate fix on this matter as it's safety and security of customer.Fifthly if any issues in hardware issues please let us know the service centers location. And please ensure hardware availability should be there at any time when customers booked.Finally as discribed about product all features are ok no issues found as mentioned earlier if call recording option would have added the this product would have been met the expectations.Camera quality is good not bad snap attached.
202,3,Excellent Product
203,3,Nice & amazing
204,0,"""NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"
205,1,"""No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol"
206,0,"""NotoriousBM95: _WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
207,2,"""OSAY_it_aint_so: &#8220;IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf"
208,1,"""OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
209,1,"""PRAYINGFORHEAD: &#8220;macklemroe: Stop bringing weird niggers into my mentions! PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK"""
210,1,"""PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;"""
211,1,"""PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
212,1,"""Patsfanjoe32: d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
213,1,"""PoemsPorn: Quote this tweet with your favorite animal.""pussy"
214,1,"""Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
215,1,"""Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh"
216,1,"""Poobie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;"""""
217,1,"""ProdsJewel_: &#8220;sreadthepeace: &#8220;yungmindless: PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!"
218,2,"""QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
219,1,"""QUAN1T0: These bitches don't care they just play that role."""
220,1,"""Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
Iemonaids dis bitch in da wrong tree bro."
221,0,"""RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag"
222,2,"""RachieSoul: DizzleOfficial inna di ghetto!!!"" You alone lmaoo"
223,2,"""RamBoutIt: &#8220;Master11_: 20ToLife_ RamBoutIt hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know"
224,1,"""ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
225,1,"""RenegadeMo: Fat hoes get chose"" lol"
226,1,"""RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal"
227,1,"""RishaaWilliams: TRESHON_SCROOGE _Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG"
228,1,"""RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
229,1,"""SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
230,1,"""SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"
231,1,"""Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
232,1,"""SexualGxfs:  One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT""  somebody, bitch if you don't"
233,1,"""Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
234,1,"""ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;"""
235,1,"""SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real"
236,1,"""ShowArrive: Side hoes are for insecure niggas that can't handle a real one."""
237,1,"""Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"
238,1,"""Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"""
239,1,"""SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;"
240,1,"""SmeegBaby: Dese hoes be LYIN to all of us nigga"""
241,1,"""SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
242,2,"""SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
243,2,"""SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch"
244,1,"""StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
245,2,"""Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad"
246,1,"""Strap__: I ain't sharing no bitch if you mines you mines &#128175;"""
247,1,"""SukMySweetness: money only impress the simple broke bitches"""
248,1,"""Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
250,2,"""TEE_JONEZ: 16stanleys KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;"
251,2,"""TEE_JONEZ: KingCuh 16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;"
252,1,"""TayKnosBest: These hoes is crazy"""
253,1,"""Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:"
254,1,"""ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam""  her, don't be no bitch."
255,1,"""TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
257,1,"""TheNymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
258,1,"""TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
259,1,"""TheRealRickyB21: JetsAndASwisher Gook____ y'all come through the front.""bitch I ain't coming"
260,1,"""TheRealRickyB21: JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH"
261,1,"""The_Realist_Sam: Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up TropicalBlanket""i work 2-5"
262,2,"""Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it"
263,0,"""TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger"
264,1,"""TheoMaxximus: Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI"
265,1,"""Thornton25: &#8220;KantKeepAhBYTCH: I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever."
266,1,"""Tmacc_GFG: &#8220;VoiceOfDStreetz: ""Tmacc_GFG: &#8220;tizzimarie: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;&#8221;them hoes taste like meds""&#127815;&#127815;&#127868;"
267,1,"""Tmacc_GFG: &#8220;tizzimarie: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;"
268,1,"""Tmacc_GFG: BOBBY BITCH-by BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe before my workout"
269,1,"""TreLeKidd: Yo bitch is Gucci Mane RT JabariTheGreat : My bitch a stoner &#128175;&#128175; http://t.co/lt9LIJjpg9""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;"
270,1,"""TweetGameLazy: I can ride your bitch with no handle bars"""
271,1,"""TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee"""
272,2,"""UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man"
273,1,"""UnHoly_Jack: These harbor bitches are all ""Party Bus hoes"""" Lol all?"
274,1,"""Vbomb20: Woodchuck20 pussy"" love it"
275,1,"""VeronikaHumbert: Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http://t.co/533fLbvWqh"" 

bitchy promo"
276,1,"""VineForTheByrd: On my way to fuck your bitch https://t.co/4lMTFNL2iy""

LMFAO KITTYCOPTER"
277,2,"""WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd"""
278,1,"""WBeezy_: ""QuaTheGreat: Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0"" &#128128;&#128128;&#128128;"" do I gotta get Ike avi on this bitch ?"
279,1,"""WBeezy_: ""Run_DRC: Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?"
280,1,"""WannabeKanye: whys this bitch boosting herself http://t.co/uOd2f5WtKV""

Her size isn't exactly the most healthy tho"
281,1,"""WitHaPrettyface: _1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!"
283,1,"""X_XPDOTJDOT: Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"
284,1,"""XoJennyGirl: I'm making marack my girlfriend ."" marackaf aye b you pullin hoes just like o taught you"
285,1,"""XoXo__Angiee: Bruno fag boy"" you love me."
286,1,"""YEHits_Von: &#8220;Run_DRC: I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw"" This why we always beefing &#128514;"
287,2,"""Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
288,1,"""YoungRicooo: &#8220;WexicanAfro702: Don't take advantage of a nice person&#8221; hoes"" everyjuan"
289,1,"""YoungRicooo: Happy birthday bitch nigga WexicanAfro702"" Thanks pal"
290,1,"""YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
291,1,"""YunGMiGo: Shane_A1 cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"
292,1,"""ZoeBarton3: h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;"
293,1,"""_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."
294,1,"""_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say."
295,1,"""_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week"
296,1,"""_TommyCollins: WeAreRichnow buffalobills yeah Texans are so much better you fucking retard"" I see that you're mad about this."
297,1,"""__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here"
298,1,"""__Sugga: There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;"
299,1,"""__sneakyb: I hate when boys deny that they have bitches &#128080;&#128553;"" smh"
300,1,"""__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
301,1,"""__youreWelcome: Im a boss ass bitch"" ...that needs to sit in a corner"
302,1,"""_iwantfranny: He's a hoe , I can't"""
304,1,"""_prettyflvck0: Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets"
